Age,2,3,Education,5,Marital-Status,Occupation,8,Race,10,11,12,13,14,15
40=50, Self-emp-not-inc,83311,University Education,13,Married, Exec-managerial, Husband,Major Races, Male,0,0,13, United-States, <=50K
30-40, Private,215646,High School,9,Unmarried, Handlers-cleaners, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
50-64, Private,234721,High School,7,Married, Handlers-cleaners, Husband,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,338409,University Education,13,Married, Prof-specialty, Wife,Major Races, Female,0,0,40, Cuba, <=50K
30-40, Private,284582,University Education,14,Married, Exec-managerial, Wife,Major Races, Female,0,0,40, United-States, <=50K
40=50, Private,160187,High School,5,Unmarried, Other-service, Not-in-family,Major Races, Female,0,0,16, Jamaica, <=50K
50-64, Self-emp-not-inc,209642,High School,9,Married, Exec-managerial, Husband,Major Races, Male,0,0,45, United-States, >50K
30-40, Private,45781,University Education,14,Single, Prof-specialty, Not-in-family,Major Races, Female,14084,0,50, United-States, >50K
40=50, Private,159449,University Education,13,Married, Exec-managerial, Husband,Major Races, Male,5178,0,40, United-States, >50K
30-40, Private,280464,University Education,10,Married, Exec-managerial, Husband,Major Races, Male,0,0,80, United-States, >50K
20-30, State-gov,141297,University Education,13,Married, Prof-specialty, Husband,Major Races, Male,0,0,40, India, >50K
20-30, Private,122272,University Education,13,Single, Adm-clerical, Own-child,Major Races, Female,0,0,30, United-States, <=50K
30-40, Private,205019,University Education,12,Single, Sales, Not-in-family,Major Races, Male,0,0,50, United-States, <=50K
30-40, Private,121772,Trade School,11,Married, Craft-repair, Husband,Major Races, Male,0,0,40, ?, >50K
30-40, Private,245487,Elementary,4,Married, Transport-moving, Husband,Major Races, Male,0,0,45, Mexico, <=50K
20-30, Self-emp-not-inc,176756,High School,9,Single, Farming-fishing, Own-child,Major Races, Male,0,0,35, United-States, <=50K
30-40, Private,186824,High School,9,Single, Machine-op-inspct, Unmarried,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,28887,High School,7,Married, Sales, Husband,Major Races, Male,0,0,50, United-States, <=50K
40=50, Self-emp-not-inc,292175,University Education,14,Unmarried, Exec-managerial, Unmarried,Major Races, Female,0,0,45, United-States, >50K
30-40, Private,193524,University Education,16,Married, Prof-specialty, Husband,Major Races, Male,0,0,60, United-States, >50K
50-64, Private,302146,High School,9,Unmarried, Other-service, Unmarried,Major Races, Female,0,0,20, United-States, <=50K
30-40, Federal-gov,76845,High School,5,Married, Farming-fishing, Husband,Major Races, Male,0,0,40, United-States, <=50K
40=50, Private,117037,High School,7,Married, Transport-moving, Husband,Major Races, Male,0,2042,40, United-States, <=50K
50-64, Private,109015,High School,9,Unmarried, Tech-support, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
